ANPSADPI,TOWNNO,COUSUBFP,TOWNNO_C,TOWN_UC,TOWN_LC,,,
Andover town,1,01080,001,ANDOVER,Andover,,,
Ansonia town,2,01220,002,ANSONIA,Ansonia,,,
Ashford town,3,01430,003,ASHFORD,Ashford,,,
Avon town,4,02060,004,AVON,Avon,,,
Barkhamsted town,5,02760,005,BARKHAMSTED,Barkhamsted,,,
Beacon Falls town,6,03250,006,BEACON FALLS,Beacon Falls,,,
Berlin town,7,04300,007,BERLIN,Berlin,,,
Bethany town,8,04580,008,BETHANY,Bethany,,,
Bethel town,9,04720,009,BETHEL,Bethel,,,
Bethlehem town,10,04930,010,BETHLEHEM,Bethlehem,,,
Bloomfield town,11,05910,011,BLOOMFIELD,Bloomfield,,,
Bolton town,12,06260,012,BOLTON,Bolton,,,
Bozrah town,13,06820,013,BOZRAH,Bozrah,,,
Branford town,14,07310,014,BRANFORD,Branford,,,
Bridgeport town,15,08070,015,BRIDGEPORT,Bridgeport,,,
Bridgewater town,16,08210,016,BRIDGEWATER,Bridgewater,,,
Bristol town,17,08490,017,BRISTOL,Bristol,,,
Brookfield town,18,08980,018,BROOKFIELD,Brookfield,,,
Brooklyn town,19,09190,019,BROOKLYN,Brooklyn,,,
Burlington town,20,10100,020,BURLINGTON,Burlington,,,
Canaan town,21,10940,021,CANAAN,Canaan,,,
Canterbury town,22,12130,022,CANTERBURY,Canterbury,,,
Canton town,23,12270,023,CANTON,Canton,,,
Chaplin town,24,13810,024,CHAPLIN,Chaplin,,,
Cheshire town,25,14160,025,CHESHIRE,Cheshire,,,
Chester town,26,14300,026,CHESTER,Chester,,,
Clinton town,27,15350,027,CLINTON,Clinton,,,
Colchester town,28,15910,028,COLCHESTER,Colchester,,,
Colebrook town,29,16050,029,COLEBROOK,Colebrook,,,
Columbia town,30,16400,030,COLUMBIA,Columbia,,,
Cornwall town,31,17240,031,CORNWALL,Cornwall,,,
Coventry town,32,17800,032,COVENTRY,Coventry,,,
Cromwell town,33,18080,033,CROMWELL,Cromwell,,,
Danbury town,34,18500,034,DANBURY,Danbury,,,
Darien town,35,18850,035,DARIEN,Darien,,,
Deep River town,36,19130,036,DEEP RIVER,Deep River,,,
Derby town,37,19550,037,DERBY,Derby,,,
Durham town,38,20810,038,DURHAM,Durham,,,
East Granby town,40,22070,040,EAST GRANBY,East Granby,,,
East Haddam town,41,22280,041,EAST HADDAM,East Haddam,,,
East Hampton town,42,22490,042,EAST HAMPTON,East Hampton,,,
East Hartford town,43,22630,043,EAST HARTFORD,East Hartford,,,
East Haven town,44,22910,044,EAST HAVEN,East Haven,,,
East Lyme town,45,23400,045,EAST LYME,East Lyme,,,
East Windsor town,47,24800,047,EAST WINDSOR,East Windsor,,,
Eastford town,39,21860,039,EASTFORD,Eastford,,,
Easton town,46,23890,046,EASTON,Easton,,,
Ellington town,48,25360,048,ELLINGTON,Ellington,,,
Enfield town,49,25990,049,ENFIELD,Enfield,,,
Essex town,50,26270,050,ESSEX,Essex,,,
Fairfield town,51,26620,051,FAIRFIELD,Fairfield,,,
Farmington town,52,27600,052,FARMINGTON,Farmington,,,
Franklin town,53,29910,053,FRANKLIN,Franklin,,,
Glastonbury town,54,31240,054,GLASTONBURY,Glastonbury,,,
Goshen town,55,32290,055,GOSHEN,Goshen,,,
Granby town,56,32640,056,GRANBY,Granby,,,
Greenwich town,57,33620,057,GREENWICH,Greenwich,,,
Griswold town,58,33900,058,GRISWOLD,Griswold,,,
Groton town,59,34250,059,GROTON,Groton,,,
Guilford town,60,34950,060,GUILFORD,Guilford,,,
Haddam town,61,35230,061,HADDAM,Haddam,,,
Hamden town,62,35650,062,HAMDEN,Hamden,,,
Hampton town,63,36000,063,HAMPTON,Hampton,,,
Hartford town,64,37070,064,HARTFORD,Hartford,,,
Hartland town,65,37140,065,HARTLAND,Hartland,,,
Harwinton town,66,37280,066,HARWINTON,Harwinton,,,
Hebron town,67,37910,067,HEBRON,Hebron,,,
Kent town,68,40290,068,KENT,Kent,,,
Killingly town,69,40500,069,KILLINGLY,Killingly,,,
Killingworth town,70,40710,070,KILLINGWORTH,Killingworth,,,
Lebanon town,71,42390,071,LEBANON,Lebanon,,,
Ledyard town,72,42600,072,LEDYARD,Ledyard,,,
Lisbon town,73,43230,073,LISBON,Lisbon,,,
Litchfield town,74,43370,074,LITCHFIELD,Litchfield,,,
Lyme town,75,44210,075,LYME,Lyme,,,
Madison town,76,44560,076,MADISON,Madison,,,
Manchester town,77,44700,077,MANCHESTER,Manchester,,,
Mansfield town,78,44910,078,MANSFIELD,Mansfield,,,
Marlborough town,79,45820,079,MARLBOROUGH,Marlborough,,,
Meriden town,80,46520,080,MERIDEN,Meriden,,,
Middlebury town,81,46940,081,MIDDLEBURY,Middlebury,,,
Middlefield town,82,47080,082,MIDDLEFIELD,Middlefield,,,
Middletown town,83,47360,083,MIDDLETOWN,Middletown,,,
Milford town,84,47535,084,MILFORD,Milford,,,
Monroe town,85,48620,085,MONROE,Monroe,,,
Montville town,86,48900,086,MONTVILLE,Montville,,,
Morris town,87,49460,087,MORRIS,Morris,,,
Naugatuck town,88,49950,088,NAUGATUCK,Naugatuck,,,
New Britain town,89,50440,089,NEW BRITAIN,New Britain,,,
New Canaan town,90,50580,090,NEW CANAAN,New Canaan,,,
New Fairfield town,91,50860,091,NEW FAIRFIELD,New Fairfield,,,
New Hartford town,92,51350,092,NEW HARTFORD,New Hartford,,,
New Haven town,93,52070,093,NEW HAVEN,New Haven,,,
New London town,95,52350,095,NEW LONDON,New London,,,
New Milford town,96,52630,096,NEW MILFORD,New Milford,,,
Newington town,94,52140,094,NEWINGTON,Newington,,,
Newtown town,97,52980,097,NEWTOWN,Newtown,,,
Norfolk town,98,53470,098,NORFOLK,Norfolk,,,
North Branford town,99,53890,099,NORTH BRANFORD,North Branford,,,
North Canaan town,100,54030,100,NORTH CANAAN,North Canaan,,,
North Haven town,101,54870,101,NORTH HAVEN,North Haven,,,
North Stonington town,102,55500,102,NORTH STONINGTON,North Stonington,,,
Norwalk town,103,56060,103,NORWALK,Norwalk,,,
Norwich town,104,56270,104,NORWICH,Norwich,,,
Old Lyme town,105,57040,105,OLD LYME,Old Lyme,,,
Old Saybrook town,106,57320,106,OLD SAYBROOK,Old Saybrook,,,
Orange town,107,57600,107,ORANGE,Orange,,,
Oxford town,108,58300,108,OXFORD,Oxford,,,
Plainfield town,109,59980,109,PLAINFIELD,Plainfield,,,
Plainville town,110,60120,110,PLAINVILLE,Plainville,,,
Plymouth town,111,60750,111,PLYMOUTH,Plymouth,,,
Pomfret town,112,61030,112,POMFRET,Pomfret,,,
Portland town,113,61800,113,PORTLAND,Portland,,,
Preston town,114,62150,114,PRESTON,Preston,,,
Prospect town,115,62290,115,PROSPECT,Prospect,,,
Putnam town,116,62710,116,PUTNAM,Putnam,,,
Redding town,117,63480,117,REDDING,Redding,,,
Ridgefield town,118,63970,118,RIDGEFIELD,Ridgefield,,,
Rocky Hill town,119,65370,119,ROCKY HILL,Rocky Hill,,,
Roxbury town,120,65930,120,ROXBURY,Roxbury,,,
Salem town,121,66210,121,SALEM,Salem,,,
Salisbury town,122,66420,122,SALISBURY,Salisbury,,,
Scotland town,123,67400,123,SCOTLAND,Scotland,,,
Seymour town,124,67610,124,SEYMOUR,Seymour,,,
Sharon town,125,67960,125,SHARON,Sharon,,,
Shelton town,126,68170,126,SHELTON,Shelton,,,
Sherman town,127,68310,127,SHERMAN,Sherman,,,
Simsbury town,128,68940,128,SIMSBURY,Simsbury,,,
Somers town,129,69220,129,SOMERS,Somers,,,
South Windsor town,132,71390,132,SOUTH WINDSOR,South Windsor,,,
Southbury town,130,69640,130,SOUTHBURY,Southbury,,,
Southington town,131,70550,131,SOUTHINGTON,Southington,,,
Sprague town,133,71670,133,SPRAGUE,Sprague,,,
Stafford town,134,72090,134,STAFFORD,Stafford,,,
Stamford town,135,73070,135,STAMFORD,Stamford,,,
Sterling town,136,73420,136,STERLING,Sterling,,,
Stonington town,137,73770,137,STONINGTON,Stonington,,,
Stratford town,138,74190,138,STRATFORD,Stratford,,,
Suffield town,139,74540,139,SUFFIELD,Suffield,,,
Thomaston town,140,75730,140,THOMASTON,Thomaston,,,
Thompson town,141,75870,141,THOMPSON,Thompson,,,
Tolland town,142,76290,142,TOLLAND,Tolland,,,
Torrington town,143,76570,143,TORRINGTON,Torrington,,,
Trumbull town,144,77200,144,TRUMBULL,Trumbull,,,
Union town,145,77830,145,UNION,Union,,,
Vernon town,146,78250,146,VERNON,Vernon,,,
Voluntown town,147,78600,147,VOLUNTOWN,Voluntown,,,
Wallingford town,148,78740,148,WALLINGFORD,Wallingford,,,
Warren town,149,79510,149,WARREN,Warren,,,
Washington town,150,79720,150,WASHINGTON,Washington,,,
Waterbury town,151,80070,151,WATERBURY,Waterbury,,,
Waterford town,152,80280,152,WATERFORD,Waterford,,,
Watertown town,153,80490,153,WATERTOWN,Watertown,,,
West Hartford town,155,82590,155,WEST HARTFORD,West Hartford,,,
West Haven town,156,82870,156,WEST HAVEN,West Haven,,,
Westbrook town,154,81680,154,WESTBROOK,Westbrook,,,
Weston town,157,83430,157,WESTON,Weston,,,
Westport town,158,83500,158,WESTPORT,Westport,,,
Wethersfield town,159,84900,159,WETHERSFIELD,Wethersfield,,,
Willington town,160,85950,160,WILLINGTON,Willington,,,
Wilton town,161,86370,161,WILTON,Wilton,,,
Winchester town,162,86440,162,WINCHESTER,Winchester,,,
Windham town,163,86790,163,WINDHAM,Windham,,,
Windsor Locks town,165,87070,165,WINDSOR LOCKS,Windsor Locks,,,
Windsor town,164,87000,164,WINDSOR,Windsor,,,
Wolcott town,166,87560,166,WOLCOTT,Wolcott,,,
Woodbridge town,167,87700,167,WOODBRIDGE,Woodbridge,,,
Woodbury town,168,87910,168,WOODBURY,Woodbury,,,
Woodstock town,169,88190,169,WOODSTOCK,Woodstock,,,
